community_names,pce_id,PCE community name,plant__name,plant__utility__name
King Cove,332070,King Cove,King Cove,"King Cove, City of"
Kipnuk,332080,Kipnuk,Kipnuk,Kipnuk Light Plant
Kivalina,331410,Kivalina,Kivalina,Alaska Village Electric Cooperative
Klawock,331155,Klawock,Craig,Alaska Power & Telephone Company
Klukwan,332700,Klukwan,Klukwan,Inside Passage Electric
Kobuk,332090,Kobuk,Shungnak,Kobuk Valley Electric Company
Kokhanok,332100,Kokhanok,Kokhanok,Kokhanok Village Council
Koliganek,332110,Koliganek,Koliganek,New Koliganek Village Council
Kongiganak,332510,Kongiganak,Kongiganak,Puvurnaq Power Company
Kotlik,332120,Kotlik,Kotlik,Alaska Village Electric Cooperative
Kotzebue,332130,Kotzebue,Kotzebue,Kotzebue Electric Association
Koyuk,331420,Koyuk,Koyuk,Alaska Village Electric Cooperative
Koyukuk,332140,Koyukuk,Koyukuk,"Koyukuk, City of"
Kwethluk,332150,Kwethluk,Kwethluk,Kwethluk Incorporated d/b/a Kuiggluum Kallugvia
Kwigillingok,332160,Kwigillingok,Kwigillingok,Kwigillingok Power Company
Larsen Bay,332170,Larsen Bay,Larsen Bay,Larsen Bay Utility Company
Levelock,332180,Levelock,Levelock,Levelock Electrical Coop
Lime Village,332190,Lime Village,Lime Village,Lime Village Electric Utility
Lower Kalskag,331430,Lower Kalskag,Upper Kalskag,Alaska Village Electric Cooperative
Manley Hot Springs,332200,Manley Hot Springs,Manley Hot Springs,TDX Manley Generating LLC
Manokotak,332210,Manokotak,Manokotak,Manokotak Power Company
Marshall,331440,Marshall,Marshall,Alaska Village Electric Cooperative
McGrath,332220,McGrath,McGrath,Mcgrath Light & Power
Mekoryuk,331450,Mekoryuk,Mekoryuk,Alaska Village Electric Cooperative
Mentasta Lake,331160,Mentasta Lake,Mentasta Lake,Alaska Power & Telephone Company
Minto,331460,Minto,Minto,Alaska Village Electric Cooperative
Mountain Village,331470,Mountain Village,Mountain Village,Alaska Village Electric Cooperative
Naknek,332280,"Naknek, South Naknek, King Salmon",Naknek,Naknek Electric Association
South Naknek,332280,"Naknek, South Naknek, King Salmon",Naknek,Naknek Electric Association
King Salmon,332280,"Naknek, South Naknek, King Salmon",Naknek,Naknek Electric Association
Napakiak,332290,Napakiak,Napakiak,Napakiak Ircinraq
Napaskiak,332300,Napaskiak,Napaskiak,Napaskiak Electric Utility
Naukati Bay,331170,Naukati Bay,Naukati Bay,Alaska Power & Telephone Company
Nelson Lagoon,332320,Nelson Lagoon,Nelson Lagoon,Nelson Lagoon Electrical Coop
New Stuyahok,331480,New Stuyahok,New Stuyahok,Alaska Village Electric Cooperative
Newtok,332870,Newtok,Newtok,Ungusraq Power Company
Nightmute,331490,Nightmute,Nightmute,Alaska Village Electric Cooperative
Nikolai,332330,Nikolai,Nikolai,"Nikolai, City of"
Nikolski,332740,Nikolski,Nikolski,Umnak Power Company
Noatak,331500,Noatak,Noatak,Alaska Village Electric Cooperative
Nome,332340,Nome,Snake River,Nome Joint Utility Systems
Noorvik,331510,Noorvik,Noorvik,Alaska Village Electric Cooperative
Northway,331180,"Northway, Northway Village, Northway Junction",Northway,Alaska Power & Telephone Company
Northway Village,331180,"Northway, Northway Village, Northway Junction",Northway,Alaska Power & Telephone Company
Northway Junction,331180,"Northway, Northway Village, Northway Junction",Northway,Alaska Power & Telephone Company
Nuiqsut,332380,Nuiqsut,Nuiqsut,North Slope Borough Power & Light
Nulato,331520,Nulato,Nulato,Alaska Village Electric Cooperative
Nunam Iqua,332420,Nunam Iqua,Sheldon Point,Nunam Iqua Electric Company
Nunapitchuk,331530,Nunapitchuk,Nunapitchuk,Alaska Village Electric Cooperative
Old Harbor,331540,Old Harbor,Old Harbor,Alaska Village Electric Cooperative
Ouzinkie,332440,Ouzinkie,Ouzinkie,"Ouzinkie, City of"
Pedro Bay,332450,Pedro Bay,Pedro Bay,Pedro Bay Village Council
Pelican,332460,Pelican,Pelican,Pelican Utility
Perryville,332470,Perryville,Perryville,Native Village of Perryville
Pilot Point,332480,Pilot Point,Pilot Point,Pilot Point Electric Utility
Pilot Station,331550,Pilot Station,Pilot Station,Alaska Village Electric Cooperative
Pitkas Point,331560,Pitkas Point,Saint Mary's,Alaska Village Electric Cooperative
Platinum,332490,Platinum,Platinum,"Platinum, City of"
Point Hope,332390,Point Hope,Point Hope,North Slope Borough Power & Light
Point Lay,332400,Point Lay,Point Lay,North Slope Borough Power & Light
Port Alsworth,332590,Port Alsworth,Port Alsworth,Tanalian Electric Cooperative
Port Heiden,332500,Port Heiden,Port Heiden,Port Heiden Utilities
Quinhagak,331570,Quinhagak,Quinhagak,Alaska Village Electric Cooperative
Rampart,332520,Rampart,Rampart,Rampart Village Council
Red Devil,332250,Red Devil,Red Devil,Middle Kuskokwim Electric
Ruby,332530,Ruby,Ruby,"Ruby, City of"
Russian Mission,331580,Russian Mission,Russian Mission,Alaska Village Electric Cooperative
Saint George,332550,Saint George,Saint George,"Saint George, City of"
Saint Mary's,331660,"Saint Mary's, Andreafsky",Saint Mary's,Alaska Village Electric Cooperative
Andreafsky,331660,"Saint Mary's, Andreafsky",Saint Mary's,Alaska Village Electric Cooperative
Saint Michael,331670,Saint Michael,Stebbins,Alaska Village Electric Cooperative
Saint Paul,332560,Saint Paul,Saint Paul,Saint Paul Municipal Electric
Sand Point,332540,Sand Point,Sand Point,TDX Corporation
Savoonga,331590,Savoonga,Savoonga,Alaska Village Electric Cooperative
Scammon Bay,331600,Scammon Bay,Scammon Bay,Alaska Village Electric Cooperative
