community__name,community__gnis_feature_id,community__census_code,community__census_area__name,community__census_area__gnis_feature_id,community__census_area__census_code,community__census_area__county_code,community__census_area__historical,community__census_area__notes,community__alaska_native_regional_corporation__name,community__latitude,community__longitude,community__aea_energy_region__name,community__dcra_community_id,year,total_population
Noatak,1413638,54700,Northwest Arctic Borough,1419979,99188,188,0,"Created from all of the former Kobuk Census Area (02-140) and an unpopulated part of the North Slope Borough (02-185) effective June 2, 1986; 1980 population: 4,831.","NANA Regional Corporation, Incorporated",67.5711111,-162.9652778,Northwest Arctic,9398f142-5b1c-49f1-8ea3-abb26c685372,1991,343
Ekwok,1401738,21810,Dillingham Census Area,1419968,99070,70,0,"Part taken to create the new Lake and Peninsula Borough (02-164) effective April 24, 1989; 1980 detached population: 1,384.",Bristol Bay Native Corporation,59.3497222,-157.4752778,Bristol Bay,bd8ff4d2-31bc-45c7-b405-9b1fced18032,1991,104
Willow,1417146,85280,Matanuska-Susitna Borough,1419976,99170,170,0,,,61.7472222,-150.0375000,Railbelt,53377138-3298-47f6-bf68-8bb04d22b61f,1991,294
Birch Creek,1399049,7620,Yukon-Koyukuk Census Area,1419987,99290,290,0,"Part taken to create the new Denali Borough (02-068) effective December 7, 1990; 1990 detached population: 1,682.","Doyon, Limited",66.2590355,-145.8190168,Yukon-Koyukuk/Upper Tanana,0631f05e-7610-4490-a656-f8ef9c4b84f3,1991,39
Glennallen,1402643,28740,Valdez-Cordova Census Area,1419984,99261,261,0,,,62.1091667,-145.5463889,Copper River/Chugach,f817207e-7c46-44c2-ae89-1ff22eda3f09,1991,460
Nunapitchuk,1407339,56680,Bethel Census Area,1419966,99050,50,0,,Calista Corporation,60.8969444,-162.4594444,Lower Yukon-Kuskokwim,9d306c13-9008-46cd-97aa-70c59268ce15,1991,383
Copper Center,1400669,17300,Valdez-Cordova Census Area,1419984,99261,261,0,,"Ahtna, Incorporated",61.9769598,-145.3297294,Copper River/Chugach,50f2cef2-126c-4560-80d2-47c37d452ad4,1991,455
Kobuk,1413362,40840,Northwest Arctic Borough,1419979,99188,188,0,"Created from all of the former Kobuk Census Area (02-140) and an unpopulated part of the North Slope Borough (02-185) effective June 2, 1986; 1980 population: 4,831.","NANA Regional Corporation, Incorporated",66.9072222,-156.8811111,Northwest Arctic,95e28c5b-af2e-4bd5-990b-fd4de3191c3e,1991,77
Galena,1402457,27530,Yukon-Koyukuk Census Area,1419987,99290,290,0,"Part taken to create the new Denali Borough (02-068) effective December 7, 1990; 1990 detached population: 1,682.","Doyon, Limited",64.7333333,-156.9275000,Yukon-Koyukuk/Upper Tanana,25bf6c14-97ff-404b-a0f6-edfe2f1b6727,1991,849
Fritz Creek,1866947,27090,Kenai Peninsula Borough,1419972,99122,122,0,,,59.7361111,-151.2952778,Railbelt,2d91bf09-525f-4c95-ba10-8adcb0de4c4c,1991,1348
Bettles,1926949,6630,Yukon-Koyukuk Census Area,1419987,99290,290,0,"Part taken to create the new Denali Borough (02-068) effective December 7, 1990; 1990 detached population: 1,682.",,66.9188889,-151.5161111,Yukon-Koyukuk/Upper Tanana,be1892b0-4ae0-4577-b84d-9591b56c47ee,1991,28
Manokotak,1405927,46890,Dillingham Census Area,1419968,99070,70,0,"Part taken to create the new Lake and Peninsula Borough (02-164) effective April 24, 1989; 1980 detached population: 1,384.",Bristol Bay Native Corporation,58.9813889,-159.0583333,Bristol Bay,bfce1319-9a9a-4b1b-86b2-6d9067351939,1991,391
Moose Pass,1417076,50190,Kenai Peninsula Borough,1419972,99122,122,0,,,60.4875000,-149.3688889,Railbelt,d07bb477-67e7-4423-bec3-dec2f6fdb76c,1991,83
Anchorage,1398242,3000,Anchorage Municipality,1416061,99020,20,0,,,61.2180556,-149.9002778,Railbelt,e6c4e976-7e27-4809-a3e4-f168d67f1726,1991,235626
Teller,1410730,75930,Nome Census Area,1419977,99180,180,0,,Bering Straits Native Corporation,65.2636111,-166.3608333,Bering Straits,ee50efb0-bbf1-428a-bf43-e6b2d79361b7,1991,256
Bethel,1398908,6520,Bethel Census Area,1419966,99050,50,0,,Calista Corporation,60.7922222,-161.7558333,Lower Yukon-Kuskokwim,2c6b7ef0-abb6-4b5a-b041-606be4389f11,1991,4753
Covenant Life,1866938,17670,Haines Borough,1419970,99100,100,0,,,59.4172222,-136.0250000,Southeast,a4f1efac-8ff8-4aa5-81a5-b7c432000171,1991,49
Nunam Iqua,1409405,56600,Kusilvak Census Area,1419985,99270,158,0,"Formerly known as the Wade Hampton Census Area, FIPS code 270",Calista Corporation,62.5336111,-164.8411111,Lower Yukon-Kuskokwim,3f0e76d9-b7bf-42ac-8e93-e5d6440c71eb,1991,101
Napakiak,1406829,52390,Bethel Census Area,1419966,99050,50,0,,Calista Corporation,60.6966667,-161.9519444,Lower Yukon-Kuskokwim,06611ed2-12b6-47f0-a3f3-f3f3dd9775a5,1991,331
Ninilchik,1413634,54480,Kenai Peninsula Borough,1419972,99122,122,0,,"Cook Inlet Region, Incorporated",60.0513889,-151.6688889,Railbelt,1312e096-cece-4f8c-9ce4-bb16958f4ffc,1991,483
Kodiak,1404875,40950,Kodiak Island Borough,1419974,99150,150,0,,"Koniag, Incorporated",57.7900000,-152.4072222,Kodiak,d91d5e68-90a3-45f5-ab73-9f89f2652c5a,1991,6600
Naknek,1406798,52060,Bristol Bay Borough,1419967,99060,60,0,,Bristol Bay Native Corporation,58.7283333,-157.0138889,Bristol Bay,486421d9-6ee1-4571-896e-a508d951420d,1991,579
Skwentna,1866975,70870,Matanuska-Susitna Borough,1419976,99170,170,0,,,61.9902778,-151.3977778,,d87a744a-d1c8-47bb-b966-6bedfac9ea1b,1991,94
Beaver,1398776,5750,Yukon-Koyukuk Census Area,1419987,99290,290,0,"Part taken to create the new Denali Borough (02-068) effective December 7, 1990; 1990 detached population: 1,682.","Doyon, Limited",66.3594444,-147.3963889,Yukon-Koyukuk/Upper Tanana,a682d92f-c007-41e0-8716-608ade611699,1991,102
Crown Point,1417059,17960,Kenai Peninsula Borough,1419972,99122,122,0,,,60.4222222,-149.3666667,Railbelt,a734302f-395e-4868-bef2-60b9a38bd7da,1991,63
Prudhoe Bay,1408327,64380,North Slope Borough,1419978,99185,185,0,"Unpopulated part plus all of the former Kobuk Census Area (02-140) taken to create the new Northwest Arctic Borough (02-188) effective June 2, 1986.",,70.2552778,-148.3372222,,33743d95-1024-4f9a-96f5-aedd348dd539,1991,47
Nulato,1407321,56350,Yukon-Koyukuk Census Area,1419987,99290,290,0,"Part taken to create the new Denali Borough (02-068) effective December 7, 1990; 1990 detached population: 1,682.","Doyon, Limited",64.7194444,-158.1030556,Yukon-Koyukuk/Upper Tanana,b34949b0-487f-4dca-a5ca-325c85999e64,1991,364
Barrow,1398635,5200,North Slope Borough,1419978,99185,185,0,"Unpopulated part plus all of the former Kobuk Census Area (02-140) taken to create the new Northwest Arctic Borough (02-188) effective June 2, 1986.",Arctic Slope Regional Corporation,71.2905556,-156.7886111,North Slope,e5e04958-b820-4acc-a275-6fd306506f01,1991,3606
Red Devil,1408580,64930,Bethel Census Area,1419966,99050,50,0,,Calista Corporation,61.7611111,-157.3125000,Lower Yukon-Kuskokwim,ed2bf034-8a2a-4adb-abd1-5d9a622d87f6,1991,49
Fox River,1866945,26910,Kenai Peninsula Borough,1419972,99122,122,0,,,59.8583333,-150.9583333,Railbelt,43a1fed5-95a3-4e27-bedc-97dd2b9f93e1,1991,386
Nenana,1406940,53050,Yukon-Koyukuk Census Area,1419987,99290,290,0,"Part taken to create the new Denali Borough (02-068) effective December 7, 1990; 1990 detached population: 1,682.","Doyon, Limited",64.5638889,-149.0930556,Railbelt,f8109851-d2f7-4c51-bcd7-b8538003d22d,1991,384
Igiugig,1403706,34790,Lake and Peninsula Borough,1419975,99164,164,0,"Created from part of the Dillingham Census Area (02-070) effective April 24, 1989; 1980 population: 1,384.",Bristol Bay Native Corporation,59.3277778,-155.8947222,Bristol Bay,2ee2bb1c-de5e-43e6-8e79-58b766d877e2,1991,31
Allakaket,1398129,1860,Yukon-Koyukuk Census Area,1419987,99290,290,0,"Part taken to create the new Denali Borough (02-068) effective December 7, 1990; 1990 detached population: 1,682.","Doyon, Limited",66.5655556,-152.6455556,Yukon-Koyukuk/Upper Tanana,3dab0bf2-69d6-4a39-845b-722247ac6070,1991,171
Egegik,1401686,21150,Lake and Peninsula Borough,1419975,99164,164,0,"Created from part of the Dillingham Census Area (02-070) effective April 24, 1989; 1980 population: 1,384.",Bristol Bay Native Corporation,58.2155556,-157.3758333,Bristol Bay,ca76b94a-6892-414c-97c7-cf2de526a1a7,1991,126
Kotzebue,1413378,41830,Northwest Arctic Borough,1419979,99188,188,0,"Created from all of the former Kobuk Census Area (02-140) and an unpopulated part of the North Slope Borough (02-185) effective June 2, 1986; 1980 population: 4,831.","NANA Regional Corporation, Incorporated",66.8983333,-162.5966667,Northwest Arctic,8aa56b8f-c01a-44a4-8f66-cbac5c6f2f4e,1991,2786
Nondalton,1407129,55030,Lake and Peninsula Borough,1419975,99164,164,0,"Created from part of the Dillingham Census Area (02-070) effective April 24, 1989; 1980 population: 1,384.",Bristol Bay Native Corporation,59.9736111,-154.8458333,Bristol Bay,e1f817cb-83d3-43c2-9762-b7a3ded4f656,1991,214
Port Clarence,1408213,63170,Nome Census Area,1419977,99180,180,0,,,65.2622222,-166.8458333,,f9ffc8fd-bc38-4c58-94d9-cb675b633c39,1991,23
Angoon,1420113,3440,Hoonah-Angoon Census Area,2371430,33390,105,0,"Created from the remainder of the former Skagway-Hoonah-Angoon Census Area (02-232) when the new Skagway Municipality (02-230) was created effective June 20, 2007; population: 2,574. Part taken to create new Petersburg Borough (02-195) effective January 3, 2013; estimated detached population: 1.",Sealaska Corporation,57.5033333,-134.5838889,Southeast,72294383-ddd6-4441-8c63-eb92786a82a1,1991,665
Tenakee Springs,1415210,76260,Hoonah-Angoon Census Area,2371430,33390,105,0,"Created from the remainder of the former Skagway-Hoonah-Angoon Census Area (02-232) when the new Skagway Municipality (02-230) was created effective June 20, 2007; population: 2,574. Part taken to create new Petersburg Borough (02-195) effective January 3, 2013; estimated detached population: 1.",,57.7808333,-135.2188889,Southeast,ecaf2206-4d4a-46d7-bdfa-1760ebbf3564,1991,97
Kokhanok,1404333,41280,Lake and Peninsula Borough,1419975,99164,164,0,"Created from part of the Dillingham Census Area (02-070) effective April 24, 1989; 1980 population: 1,384.",Bristol Bay Native Corporation,59.4394444,-154.7761111,Bristol Bay,5a9a2965-3bce-4655-af6f-1861b119bebb,1991,152
Dry Creek,1866943,20020,Southeast Fairbanks Census Area,1419983,99240,240,0,"Unpopulated part taken to create the new Denali Borough (02-068) effective December 7, 1990.",,63.6533333,-144.6652778,,6bf94758-977f-4c2f-bc31-f0de30fcf483,1991,102
Nuiqsut,1416680,56320,North Slope Borough,1419978,99185,185,0,"Unpopulated part plus all of the former Kobuk Census Area (02-140) taken to create the new Northwest Arctic Borough (02-188) effective June 2, 1986.",Arctic Slope Regional Corporation,70.2175000,-150.9763889,North Slope,c8bdb2ef-7075-4eab-9adc-743057baad86,1991,387
Manley Hot Springs,1405922,46780,Yukon-Koyukuk Census Area,1419987,99290,290,0,"Part taken to create the new Denali Borough (02-068) effective December 7, 1990; 1990 detached population: 1,682.","Doyon, Limited",65.0011111,-150.6338889,Yukon-Koyukuk/Upper Tanana,e4ebbff7-5056-4ce9-919e-ee2f6101052b,1991,105
Tetlin,1410765,76590,Southeast Fairbanks Census Area,1419983,99240,240,0,"Unpopulated part taken to create the new Denali Borough (02-068) effective December 7, 1990.",,63.1350512,-142.5238796,Yukon-Koyukuk/Upper Tanana,59ba8184-9c32-4637-91cb-5069c313f8d2,1991,82
Atqasuk,1406178,4500,North Slope Borough,1419978,99185,185,0,"Unpopulated part plus all of the former Kobuk Census Area (02-140) taken to create the new Northwest Arctic Borough (02-188) effective June 2, 1986.","Koniag, Incorporated",70.4691667,-157.3994444,North Slope,ac7acc77-e5ba-495e-a707-20889836248b,1991,212
Edna Bay,1421658,20970,Prince of Wales-Hyder Census Area,1419980,99198,198,0,"Created from the remainder of the former Prince of Wales-Outer Ketchikan Census Area (02-201) after part (Outer Ketchikan area) was annexed by Ketchikan Gateway Borough (02-130) effective May 19, 2008, and part (Meyers Chuck area) included in the new Wrangell City and Borough effective June 1, 2008; estimated population: 6,115. Prince of Wales-Hyder Census Area (02-198) added part of the former Petersburg Census Area (02-195) effective January 3, 2013; estimated added population 613.",,55.9488889,-133.6622222,,27583caa-0784-431a-b104-743eff982074,1991,95
Northway Village,1407254,56260,Southeast Fairbanks Census Area,1419983,99240,240,0,"Unpopulated part taken to create the new Denali Borough (02-068) effective December 7, 1990.",,62.9822222,-141.9516667,Yukon-Koyukuk/Upper Tanana,b6650fff-672c-46af-90c1-3f157a4ab13e,1991,107
Scammon Bay,1409133,67680,Kusilvak Census Area,1419985,99270,158,0,"Formerly known as the Wade Hampton Census Area, FIPS code 270",The Thirteenth Regional Corp,61.8427778,-165.5816667,Lower Yukon-Kuskokwim,aeb89185-de2a-40f7-ad74-2e0ef5b0628b,1991,379
Koliganek,1404914,41500,Dillingham Census Area,1419968,99070,70,0,"Part taken to create the new Lake and Peninsula Borough (02-164) effective April 24, 1989; 1980 detached population: 1,384.",Bristol Bay Native Corporation,59.7286111,-157.2844444,Bristol Bay,89f05e8d-5f77-44d3-9207-a9a1a6dd5f22,1991,190
New Stuyahok,1406972,53710,Dillingham Census Area,1419968,99070,70,0,"Part taken to create the new Lake and Peninsula Borough (02-164) effective April 24, 1989; 1980 detached population: 1,384.",Bristol Bay Native Corporation,59.4527778,-157.3119444,Bristol Bay,e12f5cec-01a1-48cb-97e8-a0efd9c45949,1991,387
Atmautluak,1699811,4430,Bethel Census Area,1419966,99050,50,0,,Calista Corporation,60.8669444,-162.2730556,Lower Yukon-Kuskokwim,da1c5373-d58a-489d-bcc9-4e348b4ec115,1991,284
Hobart Bay,1866951,32550,Hoonah-Angoon Census Area,2371430,33390,105,0,"Created from the remainder of the former Skagway-Hoonah-Angoon Census Area (02-232) when the new Skagway Municipality (02-230) was created effective June 20, 2007; population: 2,574. Part taken to create new Petersburg Borough (02-195) effective January 3, 2013; estimated detached population: 1.",,57.4658333,-133.3533333,,46c1eca2-3204-4b17-9905-41f8a7aefd0c,1991,108
Trapper Creek,1417100,78680,Matanuska-Susitna Borough,1419976,99170,170,0,,,62.3166667,-150.2313889,Railbelt,13a12931-a127-4dd4-a9e9-f83e2520f4de,1991,280
Fox,1402342,26870,Fairbanks North Star Borough,1419969,99090,90,0,,,64.9580556,-147.6183333,Railbelt,70fb7521-5f1f-492a-881e-d639371d6108,1991,279
Levelock,1405300,43810,Lake and Peninsula Borough,1419975,99164,164,0,"Created from part of the Dillingham Census Area (02-070) effective April 24, 1989; 1980 population: 1,384.",Bristol Bay Native Corporation,59.1141667,-156.8588889,Bristol Bay,3461e6af-9e16-45b3-b908-7ae08fb87d42,1991,105
Nikolaevsk,1417063,54085,Kenai Peninsula Borough,1419972,99122,122,0,,,59.8119444,-151.6105556,Railbelt,629b5007-94ef-4fc3-959f-f4126649ea00,1991,478
Eielson AFB,2418568,21370,Fairbanks North Star Borough,1419969,99090,90,0,,,64.6632652,-147.0544200,,29b43fcf-f9e9-49d3-8671-6fc3673d5374,1991,5874
Eek,1401666,21040,Bethel Census Area,1419966,99050,50,0,,Calista Corporation,60.2188889,-162.0244444,Lower Yukon-Kuskokwim,9418cfec-15c9-46b2-81f6-838e8a029049,1991,282
Atka,1418170,4210,Aleutians West Census Area,1419965,99016,16,0,"Created from the remainder of the former Aleutian Islands Census Area (02-010) when the new Aleutians East Borough (02-013) was created effective October 23, 1987; 1980 population: 6,125.",Aleut Corporation,52.1961111,-174.2005556,Aleutians,1416bd82-ae8b-413c-a12c-5c56c233e3e3,1991,103
Houston,1416613,33800,Matanuska-Susitna Borough,1419976,99170,170,0,,,61.6302778,-149.8180556,Railbelt,2fcb61fa-6783-451d-8c63-145d953c8666,1991,790
Rampart,1408519,64820,Yukon-Koyukuk Census Area,1419987,99290,290,0,"Part taken to create the new Denali Borough (02-068) effective December 7, 1990; 1990 detached population: 1,682.","Doyon, Limited",65.5050000,-150.1700000,Yukon-Koyukuk/Upper Tanana,6d93636e-c75b-4173-9d62-2500d83cea41,1991,61
Aniak,1398286,3550,Bethel Census Area,1419966,99050,50,0,,Calista Corporation,61.5783333,-159.5222222,Lower Yukon-Kuskokwim,319d7670-7304-4cb9-9b6b-afe9d3f2b94f,1991,513
Stebbins,1410158,72960,Nome Census Area,1419977,99180,180,0,,Bering Straits Native Corporation,63.5222222,-162.2880556,Bering Straits,9f750437-a2da-4911-999a-c3337536f796,1991,434
Northway,1407253,56220,Southeast Fairbanks Census Area,1419983,99240,240,0,"Unpopulated part taken to create the new Denali Borough (02-068) effective December 7, 1990.","Doyon, Limited",62.9616667,-141.9372222,Yukon-Koyukuk/Upper Tanana,3ccc1fda-6f92-455d-ad87-e4d6885b0163,1991,116
Ester,1397658,23460,Fairbanks North Star Borough,1419969,99090,90,0,,,64.8472222,-148.0144444,Railbelt,45bec8c0-07d5-4f40-ab4f-48db122799e1,1991,166
Kongiganak,1404934,41610,Bethel Census Area,1419966,99050,50,0,,Calista Corporation,59.9532731,-162.8951327,Lower Yukon-Kuskokwim,41bf65a8-2e69-4eba-b06a-509c25d4f9f9,1991,318
Arctic Village,1398382,3990,Yukon-Koyukuk Census Area,1419987,99290,290,0,"Part taken to create the new Denali Borough (02-068) effective December 7, 1990; 1990 detached population: 1,682.",,68.1269444,-145.5377778,Yukon-Koyukuk/Upper Tanana,730fbd9e-539c-4aa5-821c-3f8e435c7ee2,1991,106
North Pole,1407230,55910,Fairbanks North Star Borough,1419969,99090,90,0,,,64.7511111,-147.3494444,Railbelt,c56413d3-2295-418d-979f-8c99fdc29ad4,1991,1465
Saxman,1414511,67570,Ketchikan Gateway Borough,1419973,99130,130,0,"Annexed a substantial portion of the former Prince of Wales-Outer Ketchikan Census Area (02-201), including most of the area known as Outer Ketchikan effective May 19, 2008; estimated added population: 7. As a result, the remaining area of the former Prince of Wales-Outer Ketchikan Census Area was renamed Prince of Wales-Hyder Census Area (02-198).",Sealaska Corporation,55.3183333,-131.5958333,,8b6e1134-d36c-4559-8c38-1b117d97d48b,1991,379
Ferry,1866944,25220,Denali Borough,1419988,99068,68,0,"Created from part of the Yukon-Koyukuk Census Area (02-290) and an unpopulated part of the Southeast Fairbanks Census Area (02-240) effective December 7, 1990; 1990 population: 1,682.",,63.9277778,-149.1302778,,776fc2f2-5e9d-4441-8398-ff0b1c0e4e82,1991,59
Noorvik,1413646,55140,Northwest Arctic Borough,1419979,99188,188,0,"Created from all of the former Kobuk Census Area (02-140) and an unpopulated part of the North Slope Borough (02-185) effective June 2, 1986; 1980 population: 4,831.","NANA Regional Corporation, Incorporated",66.8383333,-161.0327778,Northwest Arctic,c70ceaa1-b8dc-4f8b-8c49-1c38db04015d,1991,513
Naukati Bay,1866964,52845,Prince of Wales-Hyder Census Area,1419980,99198,198,0,"Created from the remainder of the former Prince of Wales-Outer Ketchikan Census Area (02-201) after part (Outer Ketchikan area) was annexed by Ketchikan Gateway Borough (02-130) effective May 19, 2008, and part (Meyers Chuck area) included in the new Wrangell City and Borough effective June 1, 2008; estimated population: 6,115. Prince of Wales-Hyder Census Area (02-198) added part of the former Petersburg Census Area (02-195) effective January 3, 2013; estimated added population 613.",,55.8736111,-133.1847222,Southeast,0fccde8e-a67e-4239-9a4e-a2a7fc6c4333,1991,121
Anvik,1398335,3880,Yukon-Koyukuk Census Area,1419987,99290,290,0,"Part taken to create the new Denali Borough (02-068) effective December 7, 1990; 1990 detached population: 1,682.","Doyon, Limited",62.6561111,-160.2066667,Yukon-Koyukuk/Upper Tanana,c0a23263-bd61-47ba-9bd4-8152e95aed1a,1991,81
Thorne Bay,1669435,77140,Prince of Wales-Hyder Census Area,1419980,99198,198,0,"Created from the remainder of the former Prince of Wales-Outer Ketchikan Census Area (02-201) after part (Outer Ketchikan area) was annexed by Ketchikan Gateway Borough (02-130) effective May 19, 2008, and part (Meyers Chuck area) included in the new Wrangell City and Borough effective June 1, 2008; estimated population: 6,115. Prince of Wales-Hyder Census Area (02-198) added part of the former Petersburg Census Area (02-195) effective January 3, 2013; estimated added population 613.",,55.6877778,-132.5222222,Southeast,4e6cc7c9-137e-4b57-b549-c367df971985,1991,564
Kotlik,1404964,41720,Kusilvak Census Area,1419985,99270,158,0,"Formerly known as the Wade Hampton Census Area, FIPS code 270",Calista Corporation,63.0341667,-163.5533333,Lower Yukon-Kuskokwim,60e21fe5-6ada-442a-8366-b3615583bacf,1991,492
Kenai,1413299,38420,Kenai Peninsula Borough,1419972,99122,122,0,,"Cook Inlet Region, Incorporated",60.5544444,-151.2583333,Railbelt,873fdc7a-04c6-47fb-9926-34d524f0e919,1991,6528
Fort Greely,2418584,26100,Southeast Fairbanks Census Area,1419983,99240,240,0,"Unpopulated part taken to create the new Denali Borough (02-068) effective December 7, 1990.",,63.9412020,-145.5739800,,b5ca1ceb-508b-4b10-8afb-f6df17d21660,1991,1200
Lake Minchumina,1405185,42820,Yukon-Koyukuk Census Area,1419987,99290,290,0,"Part taken to create the new Denali Borough (02-068) effective December 7, 1990; 1990 detached population: 1,682.",,63.8827778,-152.3122222,Yukon-Koyukuk/Upper Tanana,68471756-5f21-48ea-b07f-2d514f8b6a7f,1991,31
Iliamna,1403763,35120,Lake and Peninsula Borough,1419975,99164,164,0,"Created from part of the Dillingham Census Area (02-070) effective April 24, 1989; 1980 population: 1,384.",Bristol Bay Native Corporation,59.7567965,-154.9110837,Bristol Bay,b626b803-d7a6-4a8a-95f3-5c2061727c76,1991,95
Eagle Village,1401553,20600,Southeast Fairbanks Census Area,1419983,99240,240,0,"Unpopulated part taken to create the new Denali Borough (02-068) effective December 7, 1990.",,64.7805556,-141.1136111,Yukon-Koyukuk/Upper Tanana,cf3f31f8-17c0-4226-9071-29071e072187,1991,34
Hooper Bay,1403493,33470,Kusilvak Census Area,1419985,99270,158,0,"Formerly known as the Wade Hampton Census Area, FIPS code 270",Calista Corporation,61.5311111,-166.0966667,Lower Yukon-Kuskokwim,931e232d-fbe2-4411-aa2b-0c2516e5af1b,1991,879
Sitka,1414736,70540,Sitka City and Borough,1419981,99220,220,0,,Sealaska Corporation,57.0530556,-135.3300000,Southeast,61300339-a614-43fb-a30f-41604e5e0c1c,1991,8878
Port Lions,1408218,63610,Kodiak Island Borough,1419974,99150,150,0,,"Koniag, Incorporated",57.8675000,-152.8822222,Kodiak,9d10822b-d342-4af2-9f27-668b0ff75b6b,1991,240
Togiak,1411039,77690,Dillingham Census Area,1419968,99070,70,0,"Part taken to create the new Lake and Peninsula Borough (02-164) effective April 24, 1989; 1980 detached population: 1,384.",Bristol Bay Native Corporation,59.0619444,-160.3763889,Bristol Bay,f8243f99-b938-4f9f-9db4-faa11f8ac1f6,1991,610
Tyonek,1414206,79890,Kenai Peninsula Borough,1419972,99122,122,0,,"Koniag, Incorporated",61.0680556,-151.1369444,Railbelt,1e0c07a4-3963-4c6a-9789-df49bb6add59,1991,150
Golovin,1402760,29180,Nome Census Area,1419977,99180,180,0,,Bering Straits Native Corporation,64.5433333,-163.0291667,Bering Straits,b45416b3-6619-4f0a-9a0b-7e236e56992a,1991,145
Fairbanks,1401958,24230,Fairbanks North Star Borough,1419969,99090,90,0,,"Doyon, Limited",64.8377778,-147.7163889,Railbelt,c9d4609d-cf63-4dde-a353-338b12d79046,1991,32589
Akhiok,1398007,650,Kodiak Island Borough,1419974,99150,150,0,,"Koniag, Incorporated",56.9455556,-154.1702778,Kodiak,0b1ab70f-3a34-46fe-8aac-c43348797f98,1991,85
Quinhagak,1408462,64600,Bethel Census Area,1419966,99050,50,0,,Calista Corporation,59.7488889,-161.9158333,Lower Yukon-Kuskokwim,22a95db7-915d-413d-9546-ebd322367e6e,1991,503
Eagle,1401499,20380,Southeast Fairbanks Census Area,1419983,99240,240,0,"Unpopulated part taken to create the new Denali Borough (02-068) effective December 7, 1990.","Doyon, Limited",64.7880556,-141.2000000,Yukon-Koyukuk/Upper Tanana,2aa1abd2-2ff1-4d02-8ceb-dc748838d7ca,1991,165
Lutak,1866960,45700,Haines Borough,1419970,99100,100,0,,,59.3411111,-135.5655556,,d61fa733-d9e1-4f50-b238-3fe969200e08,1991,47
Port Protection,1866970,63870,Prince of Wales-Hyder Census Area,1419980,99198,198,0,"Created from the remainder of the former Prince of Wales-Outer Ketchikan Census Area (02-201) after part (Outer Ketchikan area) was annexed by Ketchikan Gateway Borough (02-130) effective May 19, 2008, and part (Meyers Chuck area) included in the new Wrangell City and Borough effective June 1, 2008; estimated population: 6,115. Prince of Wales-Hyder Census Area (02-198) added part of the former Petersburg Census Area (02-195) effective January 3, 2013; estimated added population 613.",,56.3172222,-133.5980556,Southeast,512e8aee-4d06-493c-809f-f3659ec4d901,1991,56
Hoonah,1403488,33360,Hoonah-Angoon Census Area,2371430,33390,105,0,"Created from the remainder of the former Skagway-Hoonah-Angoon Census Area (02-232) when the new Skagway Municipality (02-230) was created effective June 20, 2007; population: 2,574. Part taken to create new Petersburg Borough (02-195) effective January 3, 2013; estimated detached population: 1.",Sealaska Corporation,58.1100000,-135.4436111,Southeast,7b1783c7-a548-47fe-b944-dc9bb6ebfc0d,1991,796
Portage Creek,1865562,62285,Dillingham Census Area,1419968,99070,70,0,"Part taken to create the new Lake and Peninsula Borough (02-164) effective April 24, 1989; 1980 detached population: 1,384.",Bristol Bay Native Corporation,58.9061111,-157.7175000,,a0dcb993-2084-4ee4-94cd-1964d4ca1fa8,1991,5
Tok,1411046,77800,Southeast Fairbanks Census Area,1419983,99240,240,0,"Unpopulated part taken to create the new Denali Borough (02-068) effective December 7, 1990.",,63.3366667,-142.9855556,Yukon-Koyukuk/Upper Tanana,ab6ef320-baf8-4200-bd06-2515b83119cc,1991,1034
Juneau,1404263,36400,Juneau City and Borough,1419971,99110,110,0,,Sealaska Corporation,58.3019444,-134.4197222,Southeast,1a737990-4076-4de6-b8ef-4ca63da201dd,1991,27579
Port Graham,1413800,63280,Kenai Peninsula Borough,1419972,99122,122,0,,Chugach Alaska Corporation,59.3513889,-151.8297222,Railbelt,f9a2a69f-701f-4c86-ac7c-14d9174a3421,1991,168
Mekoryuk,1406211,47990,Bethel Census Area,1419966,99050,50,0,,Calista Corporation,60.3880556,-166.1850000,Lower Yukon-Kuskokwim,b1df202d-fed0-4f6f-8370-aa0d13299ac8,1991,191
Dot Lake,1401364,19720,Southeast Fairbanks Census Area,1419983,99240,240,0,"Unpopulated part taken to create the new Denali Borough (02-068) effective December 7, 1990.","Doyon, Limited",63.6613889,-144.0644444,Yukon-Koyukuk/Upper Tanana,695836fe-f34a-4aed-aaaf-57bcdf103bfb,1991,65
Toksook Bay,1411060,78240,Bethel Census Area,1419966,99050,50,0,,Calista Corporation,60.5337752,-165.1036627,Lower Yukon-Kuskokwim,e6bd07fb-a6a9-428f-a4a7-2ea03ccb1c04,1991,444
Port Heiden,1419072,63390,Lake and Peninsula Borough,1419975,99164,164,0,"Created from part of the Dillingham Census Area (02-070) effective April 24, 1989; 1980 population: 1,384.",Bristol Bay Native Corporation,56.9325614,-158.6249699,Bristol Bay,05f9feb8-d7fc-43f8-a388-f62d04058b78,1991,130
Stevens Village,1410198,73290,Yukon-Koyukuk Census Area,1419987,99290,290,0,"Part taken to create the new Denali Borough (02-068) effective December 7, 1990; 1990 detached population: 1,682.","Doyon, Limited",66.0063889,-149.0908333,Yukon-Koyukuk/Upper Tanana,ec8466c6-0e5a-4fcc-8a9c-f7fef6b557fc,1991,94
