community__name,community__gnis_feature_id,community__census_code,community__census_area__name,community__census_area__gnis_feature_id,community__census_area__census_code,community__census_area__county_code,community__census_area__historical,community__census_area__notes,community__alaska_native_regional_corporation__name,community__latitude,community__longitude,community__aea_energy_region__name,community__dcra_community_id,year,total_population
Ekwok,1401738,21810,Dillingham Census Area,1419968,99070,70,0,"Part taken to create the new Lake and Peninsula Borough (02-164) effective April 24, 1989; 1980 detached population: 1,384.",Bristol Bay Native Corporation,59.3497222,-157.4752778,Bristol Bay,bd8ff4d2-31bc-45c7-b405-9b1fced18032,2003,131
Teller,1410730,75930,Nome Census Area,1419977,99180,180,0,,Bering Straits Native Corporation,65.2636111,-166.3608333,Bering Straits,ee50efb0-bbf1-428a-bf43-e6b2d79361b7,2003,239
Koyukuk,1404984,42050,Yukon-Koyukuk Census Area,1419987,99290,290,0,"Part taken to create the new Denali Borough (02-068) effective December 7, 1990; 1990 detached population: 1,682.","Doyon, Limited",64.8802778,-157.7008333,Yukon-Koyukuk/Upper Tanana,d9a69055-96fa-404b-a32e-a754f6d256d0,2003,106
Tyonek,1414206,79890,Kenai Peninsula Borough,1419972,99122,122,0,,"Koniag, Incorporated",61.0680556,-151.1369444,Railbelt,1e0c07a4-3963-4c6a-9789-df49bb6add59,2003,195
Chuathbaluk,1400376,14330,Bethel Census Area,1419966,99050,50,0,,Calista Corporation,61.5719444,-159.2450000,Lower Yukon-Kuskokwim,1a3ce5fe-fd09-4fd4-a31e-df8e509e99bb,2003,105
Alcan Border,2418762,1390,Southeast Fairbanks Census Area,1419983,99240,240,0,"Unpopulated part taken to create the new Denali Borough (02-068) effective December 7, 1990.",,62.6747868,-141.1314000,Yukon-Koyukuk/Upper Tanana,659d30fc-23d2-41bb-811e-ada67194df1b,2003,16
Tenakee Springs,1415210,76260,Hoonah-Angoon Census Area,2371430,33390,105,0,"Created from the remainder of the former Skagway-Hoonah-Angoon Census Area (02-232) when the new Skagway Municipality (02-230) was created effective June 20, 2007; population: 2,574. Part taken to create new Petersburg Borough (02-195) effective January 3, 2013; estimated detached population: 1.",,57.7808333,-135.2188889,Southeast,ecaf2206-4d4a-46d7-bdfa-1760ebbf3564,2003,107
Seldovia Village,1865565,68370,Kenai Peninsula Borough,1419972,99122,122,0,,,59.4780556,-151.6519444,,6b89345a-3538-4162-8ad2-0d74ec8bc86d,2003,150
Kalifornsky,1413260,37250,Kenai Peninsula Borough,1419972,99122,122,0,,,60.4183333,-151.2900000,Railbelt,b248add4-e334-45e6-979c-a62e539acfc6,2003,6313
Egegik,1401686,21150,Lake and Peninsula Borough,1419975,99164,164,0,"Created from part of the Dillingham Census Area (02-070) effective April 24, 1989; 1980 population: 1,384.",Bristol Bay Native Corporation,58.2155556,-157.3758333,Bristol Bay,ca76b94a-6892-414c-97c7-cf2de526a1a7,2003,82
